method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.2595789943103503,0.06972719699842855,nan,nan,nan,0.9155943509831559,0.9853215479815844,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,0.7607385853546303,0.009573881439193405,0.021980838047700835,0.02694088926455637,nan,nan,nan,nan,nan,nan,u_cmd,direct
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.3647910472212368,0.0,nan,nan,nan,4.55826961499406,4.55826961499406,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,1.123957152747268,0.013704607664200787,0.042443703376937966,0.027151382007294615,nan,nan,nan,0.0068631514282423475,0.0011502201346342414,0.001237888818366973,u_cmd,direct
Frequency-Welch,Coherence-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,0.517911050799216,0.8721181679866277,nan,nan,nan,2.9345301739813294,3.806648341967957,nan,28,11210,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and coherence threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,1.3510185369931969,0.020920983156679448,0.01463645515354171,0.07746184147808108,nan,nan,nan,nan,nan,nan,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.3281755889844311,0.11773280799388885,nan,nan,nan,5.834740974009037,5.952473782002926,2.2150607760588515e-05,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.92. Validation uses only x0 and the supplied pilot-command history.",open_loop,1.1140547766992583,0.008902297738089177,0.03749542428650457,0.02727327011342137,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.5880134890174077,0.2123227840056643,nan,nan,nan,5.878935158980312,6.091257942985976,nan,120,256000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,2.201607654752172,0.012368271617090964,0.0842248263120243,0.035572609793015325,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,8681.919343667969,6.2512920559966005,nan,nan,nan,1.4712143420183565,7.722506398014957,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,3695.5043062570453,382.8936271815645,1276.7977799246207,1206.9733961273253,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,1.0538956251786697,0.014926375995855778,nan,nan,nan,7.142675929993857,7.1576023059897125,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,2.9193113362473566,0.026272856219539998,0.13151476026816253,0.10819291570105224,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.6252902696063691,1.0749591100029647,nan,nan,nan,6.0310086849785876,7.105967794981552,0.00021443767116766785,156,3200,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,1.8834022027716346,0.02474340101341021,0.0696597429141407,0.04808815684036581,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Stitching,Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,0.23281248983252606,1.8882221580133773,nan,nan,nan,11.917040606000228,13.805262764013605,0.2561752371343829,211,11210,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.92. This tests local frequency-domain stitching, not CIFER.",open_loop,0.7428133917144415,0.01130149177595944,0.020862633265346472,0.01622330052416848,nan,nan,nan,nan,nan,nan,u_cmd,direct
Symbolic-Stepwise,Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,0.427317224242056,0.651646335987607,nan,nan,nan,13.233535176987061,13.885181512974668,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,1.5020953356229811,0.006886587275016259,0.05420817343286688,0.038235462439591174,nan,nan,nan,nan,nan,nan,u_cmd,direct
GP-CoeffClosure,Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,0.4841197916400005,1.5627029809984379,nan,nan,nan,18.61379621201195,20.176499193010386,0.19654863259125283,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.03, residual gain=1.",open_loop,1.7983816447520473,0.012734698298742584,0.05936604617015058,0.03233057268740194,nan,nan,nan,0.0034594687037865996,0.0009733506763770841,0.0008343157052076053,u_cmd,direct
Variational-Mocap,"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,4.098280152281719,7.800410964991897,nan,nan,nan,6.6598579279962,14.460268892988097,nan,1220,202,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,13.436417395534825,0.058870607670737964,1.0386022076978803,0.046031126868012695,39.03124953864893,397.14124448032936,1.08973497466372,nan,nan,nan,u_cmd,direct
SINDy,One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,7.131289387961516,0.07269068900495768,nan,nan,nan,38.74143210600596,38.81412279501092,0.0016281183748993212,16,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,2.7417755647702893,0.4329156633456223,0.6014484995694593,1.1078810686482976,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-SS,Single-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,0.3647910472212368,1.1633748439780902,nan,nan,nan,6.460390756023116,7.623765600001207,nan,16,802,CasADi/IPOPT backend fitted on 2 trajectory samples with stride 10; nonlinear residuals are unmodeled.,open_loop,1.123957152747268,0.013704607664200787,0.042443703376937966,0.027151382007294615,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-MocapOutput,Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,1.308572183771635,29.545560368016595,nan,nan,nan,4.964891921990784,34.51045229000738,nan,16,802,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,open_loop,3.9423275295253526,0.08945647898761631,0.11261797036541993,0.05645834861069401,81.71259458553286,9.561889161293863,0.1564217003786992,nan,nan,nan,u_cmd,direct
OEM-HiddenController,Single-shooting OEM with an inferred smooth stall/recovery controller between pilot command and plant input.,implemented,CasADi/IPOPT,0.7813350606162316,83.50817380700028,nan,nan,nan,10.919444246013882,94.42761805301416,3766165.1385879642,28,802,"CasADi/IPOPT fitted aerodynamic and controller parameters using u_cmd; controller parameters describe throttle-to-pitch scheduling, elevator-to-pitch mapping, SAFE pitch gain, AS3X q damping, stall/recovery gates, panic pitch target, panic pitch gain, and SAFE/direct blending.",open_loop,2.7966035689045867,0.0616924511231455,0.05385525417893803,0.011980928324986298,nan,nan,nan,nan,nan,nan,u_cmd,direct
UDE-Residual,Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,0.46494171812538015,0.9747217569965869,0.9816639579999995,0.9744735717773437,68.81005859375,9.743580023001414,10.718301779998,0.31087011098861694,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=1.,open_loop,1.673539573899993,0.011970442960413854,0.05858204867310721,0.032383031216442114,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-CoeffClosure,Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,0.5031100288897643,1.0257912360248156,1.0315774829999995,1.0255311279296875,68.42822265625,9.612116121017607,10.637907357042423,0.19766920804977417,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=1.,open_loop,1.9594073005176367,0.01399484927878497,0.05980727254376284,0.03022826790668811,nan,nan,nan,0.004045418740523287,0.0007730538280498224,0.0006781133747106869,u_cmd,direct
UDE-HiddenControl,Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.07099710037081543,0.9818985990132205,0.9850410480000003,0.9815794067382813,68.04541015625,11.012961493019247,11.994860092032468,0.5001329779624939,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,open_loop,0.2540484765563277,0.0014505519698297246,0.007744138235422009,0.0065349596296317,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-HiddenElevator,PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.08651485783545643,0.9864406209962908,0.9911797710000005,0.9861570434570313,67.66357421875,11.294164946011733,12.280605567008024,0.002943039406090975,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",open_loop,0.3924224503431286,0.0023595335589594673,0.006974013129449654,0.005588330601452685,nan,nan,nan,nan,nan,nan,u_cmd,direct
NN-CoeffSurrogate,Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,0.48362263671942735,0.9979723099968396,1.0037772149999995,0.995953125,68.42822265625,9.469730194017757,10.467702504014596,0.0013774217804893851,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",open_loop,1.7462120517950661,0.012251703405565187,0.06177826277763798,0.03324242622389129,nan,nan,nan,0.0035485866758500615,0.0006461639278709118,0.000700903075518105,u_cmd,direct
Linear-SS (mocap),Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,1.0720696798700189,0.05918555098469369,nan,nan,nan,0.9042012960126158,0.9633868469973095,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,5.9150647472633855,0.01839124146215691,0.11267801976750412,0.031136762963207106,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Frequency-Welch (mocap),Coherence-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,27468.943824775,1.1716988639964256,nan,nan,nan,0.45868812198750675,1.6303869859839324,nan,28,21811,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and coherence threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,6768.83365883196,1213.194098348066,1838.6090566863827,5565.480741664344,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Model-Stitching (mocap),Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,2.3457633449325304,0.13714121401426382,nan,nan,nan,4.891527598985704,5.0286688129999675,0.0006757496346937155,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.937. Validation uses only x0 and the supplied pilot-command history.",open_loop,12.10059436923287,0.047960017062966306,0.31773947438127154,0.03468192233634381,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Koopman-EDMD (mocap),Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,81.34527567091061,0.268645423988346,nan,nan,nan,3.963129156996729,4.231774580985075,nan,120,256000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,710.7029403363417,0.19500729891194182,0.20796148375280232,0.7765662747144072,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Nominal (mocap),"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.7370907938678402,0.0,nan,nan,nan,7.4007668269914575,7.4007668269914575,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,2.4079663762540577,0.032107658430256134,0.09250272519986416,0.03705175011329037,nan,nan,nan,0.0068631514282423475,0.0011502201346342414,0.001237888818366973,u_cmd,mocap
Subspace-Hankel (mocap),Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,3.414192269122288,6.209908275021007,nan,nan,nan,1.4111838759854436,7.621092151006451,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,14.431908335353148,0.04033947797200611,0.6242523413822582,0.10586897884062635,nan,nan,nan,nan,nan,nan,u_cmd,mocap
EquationError-LS (mocap),"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,1.8056755226365144,0.014263382996432483,nan,nan,nan,7.086514185008127,7.10077756800456,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,3.8329465374278326,0.03964014877635374,0.2566483763051198,0.21596154182487134,nan,nan,nan,nan,nan,nan,u_cmd,mocap
EKF-ParamID (mocap),Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,1.0689909341407282,0.9814406540244818,nan,nan,nan,6.377964890009025,7.359405544033507,0.00021496575521597535,156,3200,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,2.7331566069826447,0.03084212348639052,0.1512903615055191,0.09788922607877056,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Symbolic-Stepwise (mocap),Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,10493.56530470407,0.7603344579983968,nan,nan,nan,2.6660664070222992,3.426400865020696,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,357.8329741295403,306.0833435294206,1526.6326795301384,1904.5003832154766,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Frequency-Stitching (mocap),Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,29231.904181368212,2.096684018004453,nan,nan,nan,11.228532128996449,13.325216147000901,7.539381512909777,211,21811,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.937. This tests local frequency-domain stitching, not CIFER.",open_loop,10.914888996962524,1988.136648757674,2656.443160799433,4436.398971260642,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Variational-Mocap (mocap),"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,4.098280152281719,8.126569450017996,nan,nan,nan,6.639046378986677,14.765615829004673,nan,1220,202,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,13.436417395534825,0.058870607670737964,1.0386022076978803,0.046031126868012695,39.03124953864893,397.14124448032936,1.08973497466372,nan,nan,nan,u_cmd,mocap
GP-CoeffClosure (mocap),Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,0.691446598735686,1.5186918659892399,nan,nan,nan,22.3433744799986,23.86206634598784,0.18541017276220764,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.03, residual gain=0.1.",open_loop,2.2588754268833497,0.028929169850540126,0.08686027244267021,0.036836315900498906,nan,nan,nan,0.00653058579819639,0.012569999833477369,0.0011654537122731976,u_cmd,mocap
SINDy (mocap),One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,9.864446688968773,0.07715344900498167,nan,nan,nan,35.0968914719997,35.17404492100468,0.009101838372968449,26,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,9.185951199172571,0.8752362875034221,1.4744667184809799,0.3782054937300286,nan,nan,nan,nan,nan,nan,u_cmd,mocap
OEM-SS (mocap),Single-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,0.8502505037386816,28.453621362015838,nan,nan,nan,6.363196599995717,34.816817962011555,nan,16,802,CasADi/IPOPT backend fitted on 2 trajectory samples with stride 10; nonlinear residuals are unmodeled.,open_loop,1.597641315478365,0.03207523616507229,0.2070784913699737,0.0238181829421613,nan,nan,nan,nan,nan,nan,u_cmd,mocap
OEM-MocapOutput (mocap),Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,1.308572183771635,30.4283685820119,nan,nan,nan,5.943406373990001,36.3717749560019,nan,16,802,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,open_loop,3.9423275295253526,0.08945647898761631,0.11261797036541993,0.05645834861069401,81.71259458553286,9.561889161293863,0.1564217003786992,nan,nan,nan,u_cmd,mocap
OEM-HiddenController (mocap),Single-shooting OEM with an inferred smooth stall/recovery controller between pilot command and plant input.,implemented,CasADi/IPOPT,1.3389688072198431,90.31664038600866,nan,nan,nan,10.97289434299455,101.28953472900321,5228306.39759259,28,802,"CasADi/IPOPT fitted aerodynamic and controller parameters using u_cmd; controller parameters describe throttle-to-pitch scheduling, elevator-to-pitch mapping, SAFE pitch gain, AS3X q damping, stall/recovery gates, panic pitch target, panic pitch gain, and SAFE/direct blending.",open_loop,4.492667129652104,0.10007405660394032,0.1307506425854185,0.014388753897647238,nan,nan,nan,nan,nan,nan,u_cmd,mocap
UDE-Residual (mocap),Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,0.6979388575312521,1.45185472999583,1.4569606290000001,1.449654296875,68.81005859375,9.49767379599507,10.9495285259909,0.12889903783798218,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=0.1.,open_loop,2.2842441804437312,0.02942053519261373,0.08784001830327846,0.036516155620108924,nan,nan,nan,nan,nan,nan,u_cmd,mocap
PINN-CoeffClosure (mocap),Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,0.6946670204530878,1.466427614010172,1.4700064710000005,1.466154541015625,68.42822265625,9.591093922004802,11.057521536014974,0.11189619451761246,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=0.1.,open_loop,2.2625312923613476,0.02870031506958607,0.08834090496483504,0.03714935390196028,nan,nan,nan,0.006547701854360191,0.01049930676646076,0.0010898965746068464,u_cmd,mocap
UDE-HiddenControl (mocap),Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.544646651923575,1.0103419429797214,1.014042968,1.0100768432617186,68.04541015625,10.898073251009919,11.90841519398964,0.4360641539096832,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,open_loop,1.496934549487234,0.027123699842320274,0.0711181697182062,0.029737312519962384,nan,nan,nan,nan,nan,nan,u_cmd,mocap
PINN-HiddenElevator (mocap),PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.5536895416128593,0.9604197489970829,0.9677487540000005,0.9601636352539062,67.66357421875,11.553622055012966,12.514041804010049,0.002533739898353815,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",open_loop,1.490797930754354,0.02355096867681173,0.0733717648425077,0.03784957272918022,nan,nan,nan,nan,nan,nan,u_cmd,mocap
NN-CoeffSurrogate (mocap),Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,1.1749623726241891,1.0138140670023859,1.0164350559999997,1.013545654296875,68.42822265625,9.345793640008196,10.359607707010582,0.0016677423845976591,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",open_loop,4.706204205683748,0.03185738668883098,0.15335782657577923,0.057518382157870876,nan,nan,nan,0.013686196983641723,0.003768364838351678,0.003374958799591163,u_cmd,mocap
